,links,Name,Edition,Distance,Color,Price
120,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-f-150-8663023/,2022 Ford F-150,XLT,26KM,Agate Black Metallic,"$72,245"
121,https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-explorer-8662960/,2022 Ford Explorer,LIMITED,CALL,ATLAS BLUE,"$66,244"
122,https://www.carpages.ca/new-cars/ontario/sudbury/2022-mercedes-benz-gle-8662921/,2022 Mercedes-Benz GLE,GLE 450,90KM,Polar White,"$98,538"
123,https://www.carpages.ca/used-cars/ontario/sudbury/2022-tesla-model-3-8662750/,2022 Tesla Model 3,Long Range AWD  - Fast Charging,"75,500KM",White,"$80,400"
124,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-hyundai-elantra-8662636/,2022 Hyundai Elantra,Hybrid Ultimate DCT  - Leather Seats - $181 B/W,10KM,SPACE BLACK,"$29,224"
125,https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8662450/,2022 Ford Escape,4DR SE PHEV FWD,CALL,RAPID RED MET TINTED CC,"$45,294"
126,https://www.carpages.ca/used-cars/ontario/ottawa/2018-chrysler-pacifica-8662432/,2018 Chrysler Pacifica,Hybrid Limited  - Navigation - $348 B/W,"63,313KM",Gray,"$49,998"
127,https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8662417/,2022 Ford Escape,4DR SE PHEV FWD,CALL,ICONIC SILVER,"$43,394"
128,https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-tesla-model-3-8661433/,2021 Tesla Model 3,Long Range AWD,"10,972KM",,"$85,995"
129,https://www.carpages.ca/new-cars/ontario/listowel/2022-jeep-wrangler-8661169/,2022 Jeep Wrangler,4xe Unlimited Rubicon,100KM,FIRECRACKER RED,"$73,425"
130,https://www.carpages.ca/used-cars/ontario/innisfil/2020-ford-escape-8661040/,2020 Ford Escape,Titanium Hybrid HYBRID!!! AWD!!,"125,897KM",White,"$36,686"
131,https://www.carpages.ca/used-cars/ontario/north-york/2018-toyota-highlander-8660668/,2018 Toyota Highlander,Hybrid XLE AWD Navigation/Sunroof/Camera,"135,000KM",White,"$35,995"
132,https://www.carpages.ca/used-cars/ontario/north-temiskaming-shores/2021-toyota-venza-8659228/,2021 Toyota Venza,XLE AWD HYBRID,"19,330KM",Ruby Flare Pearl,"$50,995"
133,https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-sonata-8658448/,2022 Hyundai Sonata,Hybrid Ultimate,18KM,Nocturne Grey,"$41,049"
134,https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-elantra-8658433/,2022 Hyundai Elantra,Hybrid ULTIMATE,16KM,SPACE BLACK,"$27,499"
135,https://www.carpages.ca/used-cars/ontario/guelph/2017-toyota-prius-8658322/,2017 Toyota Prius,"V Hybrid Wagon, Navigation, Power Seats, Heated Seats, Bluetooth, & More!","40,000KM",Brown,"$34,988"
136,https://www.carpages.ca/used-cars/ontario/guelph/2018-toyota-prius-8658319/,2018 Toyota Prius,"Prime Plug-In Hybrid, Navigation, Adaptive Cruise, Heated Seats, & More!","109,000KM",Grey,"$35,888"
137,https://www.carpages.ca/used-cars/ontario/guelph/2017-toyota-prius-8658283/,2017 Toyota Prius,"V Hybrid, Luxury & Tech Package, Navigation, Panoramic Sunroof, & Much More!","72,000KM",Black,"$33,488"
138,https://www.carpages.ca/used-cars/saskatchewan/prince-albert/2019-honda-accord-8658058/,2019 Honda Accord,Hybrid Touring,"118,292KM",White,"$38,995"
139,https://www.carpages.ca/new-cars/british-columbia/surrey/2022-ford-escape-8657896/,2022 Ford Escape,Titanium Hybrid 400A,10KM,Red,"$44,744"
140,https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-explorer-8656591/,2022 Ford Explorer,Limited 4WD,CALL,FORGED GREEN METALLIC,"$63,894"
141,https://www.carpages.ca/used-cars/quebec/laval/2016-nissan-leaf-8655847/,2016 Nissan Leaf,"SV - Caméra de Recul, Navigation, Sièges Chauffant","81,936KM",Gun Metallic,"$22,994"
142,https://www.carpages.ca/used-cars/ontario/north-york/2016-tesla-model-x-8655730/,2016 Tesla Model X,90D|7PASSENGER|NAV|BIODEFENSE|AIRSUSP|AUTOPILOT|++,"112,940KM",Blue,"$92,995"
143,https://www.carpages.ca/used-cars/quebec/saint-hubert/2019-tesla-model-3-8655652/,2019 Tesla Model 3,"DUAL-MOTOR, LONG-RANGE, AUTO-PILOT","36,658KM",Pearl White Multi-Coat,"$68,980"
144,https://www.carpages.ca/used-cars/ontario/newmarket/2018-ford-fusion-8655313/,2018 Ford Fusion,Energi SE Luxury SE FWD,"58,906KM",White,"$28,900"
145,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-toyota-rav4-8654956/,2018 Toyota RAV4,Hybrid LE+ XLE,"50,132KM",Magnetic Grey Metallic,"$37,211"
146,https://www.carpages.ca/used-cars/ontario/waterloo/2015-toyota-prius-c-8654398/,2015 Toyota Prius c,C,"90,994KM",White,"$19,995"
147,https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-8654074/,2021 Tesla Model Y,"LONG RANGE AWD AUTOPILOT, ONE OWNER, GEMINI WHEELS!","53,789KM",Black,"$89,950"
148,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-s-8654068/,2022 Tesla Model S,"LONG RANGE AWD AUTOPILOT, BRAND NEW, BEAUTIFUL!",74KM,Blue,"$154,950"
149,https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-rav4-8654038/,2022 Toyota RAV4,Hybrid Limited,10KM,Dark Blue,"$45,237"
